Permutation Number, size , % time in mm, % time in rm, % time in writeMatrix
0,1000,99.8,0.1,0.00
0,2000,99.9,0.05,0.00
0,3000,99.92,0.03,0.00
0,4000,99.94,0.02,0.00
0,5000,99.97,0.012,0.00
1,1000,99.5,0.3,0.00
1,2000,99.8,0.1,0.00
1,3000,99.83,0.09,0.00
1,4000,99.89,0.06,0.00
1,5000,99.96.0.03,0.00
2,1000,99.8,0.1,0.00
2,2000,99.9,0.1,0.00
2,3000,99.93,0.09,0.00
2,4000,99.95,0.07,0.00
2,5000,99.98,0.02,0.00
3,1000,99.8,0.1,0.00
3,2000,99.9,0.07,0.00
3,3000,99.92,0.05,0.00
3,4000,99.94,0.04,0.00
3,5000,99.98,0.01,0.00
4,1000,99.4,0.4,0.00
4,2000,99.9,0.1,0.00
4,3000,99.93,0.08,0.00
4,4000,99.96,0.03,0.00
4,5000,99.98,0.01,0.00
5,1000,99.9,0.1,0.00
5,2000,99.92,0.1,0.00
5,3000,99.94,0.07,0.00
5,4000,99.97,0.04,0.00
5,5000,99.99,0.01,0.00

