Permutation Number,Row Dimension,Total User Time (seconds),User Time in Matrix Multiplication,% of User Time Taken by Matrix Multiplication,Total Cache Misses,Cache Hit Rate (%),Instructions per Cycle
0,1000,1.250239,0,0,32878135,74.46870004617405,1.58
0,2000,24.818664,0,0,916770445,13.506976123121605,0.65
0,3000,147.293184,0,0,3398159288,3.8720476375443957,0.37
0,4000,369.465127,0,0,13575573985,57.17159016546678,0.34
0,5000,757.468335,0,0,16785016483,19.439847198900985,0.33
1,1000,0.395463,0,0,26902461,78.61312082348584,2.47
1,2000,3.534036,0,0,738642749,22.61386888516309,2.24
1,3000,11.786775,0,0,2791039539,13.460569922585385,2.3
1,4000,27.677105,0,0,6905634604,8.867752378046845,2.29
1,5000,53.973688,0,0,13730375488,7.21001462674431,2.29
2,1000,1.12003,0,0,32302524,76.51284009231405,1.79
2,2000,17.162963,0,0,384144979,65.81808600872097,0.94
2,3000,120.141029,0,0,1047852270,68.68565864311124,0.44
2,4000,340.885048,0,0,7689729500,83.84403272493056,0.37
2,5000,823.876047,0,0,4986810023,70.82139446748268,0.35
3,1000,10.400901,0,0,94449034,38.30176339348501,0.34
3,2000,172.487342,0,0,1132877964,29.1514188562368,0.16
3,3000,645.757895,0,0,4196851607,58.70255975588656,0.14
3,4000,1816.209249,0,0,38816493477,85.14275288797191,0.13
3,5000,3548.055537,0,0,66829256155,89.83784256534709,0.12
4,1000,0.732284,0,0,27660699,78.40316017961932,2.25
4,2000,6.5859,0,0,609245567,36.88413520344762,1.94
4,3000,26.107724,0,0,2199358863,32.72280763880606,1.73
4,4000,55.677206,0,0,5506525801,28.402286251097742,1.89
4,5000,102.584443,0,0,11213160599,25.31783849612783,1.91
5,1000,9.423292,0,0,65170812,58.56994382295508,0.34
5,2000,168.38534,0,0,1001951696,37.67606022108739,0.16
5,3000,624.59093,0,0,3886548238,62.7388180670287,0.14
5,4000,1660.342273,0,0,26007900358,89.89617560832735,0.12
5,5000,3632.70238,0,0,49149925044,92.43826230513135,0.11
