Permutation Number,Row Dimension,% of User Time Taken by mm, % of User Time Taken by rm, % of User Time Taken by wm
0,1000,97.93,0.3,0.0
0,2000,99.33,0.1,0.0
0,3000,99.74,0.04,0.0
0,4000,99.82,0.03,0.0
0,5000,99.95,0.02,0.0
1,1000,95.16,0.4,0.00
1,2000,97.35,0.23,0.0
1,3000,97.58,0.36,0.0
1,4000,98.54,0.25,0.02
1,5000,99.1,0.2,0.00
2,1000,98.41,0.0,0.0
2,2000,99.3,0.12,0.0
2,3000,99.71,0.07,0.0
2,4000,99.82,0.03,0.0
2,5000,99.86,0.02,0.0
3,1000,99.43,0.19,0.0
3,2000,99.50,0.14,0.0
3,3000,99.59,0.1,0.0
3,4000,99.8,0.08,0.0
3,5000,99.93,0.06,0.0
4,1000,94.59,3.4,1.2
4,2000,98.2,0.8,0.01
4,3000,98.25,0.7,0.0
4,4000,98.86,0.16,0.0
4,5000,99.1,0.08,0.0
5,1000,99.25,0.07,0.0
5,2000,99.93,0.01,0.0
5,3000,99.94,0.03,0.0
5,4000,99.96,0.01,0.0
5,5000,99.98,0.002,0.0
