Permutation Number,Row Dimension,Total User Time (seconds),User Time in Matrix Multiplication,% of User Time Taken by Matrix Multiplication,Total Cache Misses,Cache Hit Rate (%),Instructions per Cycle
0,1000,1.250239,1.2243590527000001,97.93,32878135,91.46870004617405,1.58
0,2000,24.818664,24.6523789512,99.33,916770445,88.506976123121603,0.65
0,3000,147.293184,146.91022172159998,99.74,3398159288,77.872047637544396,0.37
0,4000,369.465127,368.80008977139994,99.82,13575573985,69.17159016546678,0.34
0,5000,757.468335,757.0896008325,99.95,16785016483,50.439847198900985,0.33
1,1000,0.395463,0.37632259079999997,95.16,26902461,98.61312082348584,2.47
1,2000,3.534036,3.4403840459999997,97.35,738642749,99.61386888516309,2.24
1,3000,11.786775,11.501535045,97.58,2791039539,98.460569922585384,2.3
1,4000,27.677105,27.273019267000006,98.54,6905634604,98.867752378046845,2.29
1,5000,53.973688,53.487924807999995,99.1,13730375488,99.21001462674431,2.29
2,1000,1.12003,1.102221523,98.41,32302524,96.51284009231405,1.79
2,2000,17.162963,17.042822259,99.3,384144979,92.81808600872097,0.94
2,3000,120.141029,119.7926200159,99.71,1047852270,77.68565864311124,0.44
2,4000,340.885048,340.27145491359994,99.82,7689729500,71.84403272493056,0.37
2,5000,823.876047,822.7226205341999,99.86,4986810023,49.82139446748268,0.35
3,1000,10.400901,10.3416158643,99.43,94449034,92.30176339348501,0.34
3,2000,172.487342,171.62490529000002,99.5,1132877964,67.1514188562368,0.16
3,3000,645.757895,643.1102876304999,99.59,4196851607,65.70255975588656,0.14
3,4000,1816.209249,1812.576830502,99.8,38816493477,55.14275288797191,0.13
3,5000,3548.055537,3545.5718981241002,99.93,66829256155,50.83784256534709,0.12
4,1000,0.732284,0.6926674356000001,94.59,27660699,97.40316017961932,2.25
4,2000,6.5859,6.4673538,98.2,609245567,99.88413520344762,1.94
4,3000,26.107724,25.65083883,98.25,2199358863,98.72280763880606,1.73
4,4000,55.677206,55.04248585159999,98.86,5506525801,98.902286251097745,1.89
4,5000,102.584443,101.66118301299998,99.1,11213160599,99.01783849612783,1.91
5,1000,9.423292,9.352617310000001,99.25,65170812,90.56994382295508,0.34
5,2000,168.38534,168.26747026200002,99.93,1001951696,69.67606022108739,0.16
5,3000,624.59093,624.2161754419999,99.94,3886548238,65.7388180670287,0.14
5,4000,1660.342273,1659.6781360907999,99.96,26007900358,57.89617560832735,0.12
5,5000,3632.70238,3631.975839524,99.98,49149925044,50.43826230513136,0.11
